Date,Temperature,pH,Yeast Activity,Fermentation Rate,Quality_Status
5/25/2023,28.75,4.94,87.35,74.92,Bad
5/26/2023,22.31,4.07,75.21,87.27,Good
5/27/2023,17.85,4.4,57.03,68.15,Warning
5/28/2023,25.7,5.45,61.37,99.33,Warning
5/29/2023,16.41,4.78,46.11,57.64,Warning
5/30/2023,19.4,4.26,51.19,64.25,Warning
5/31/2023,22.19,4.08,64.62,99.12,Warning
6/1/2023,21.04,4.05,98.17,93.28,Good
6/2/2023,19.69,4.88,50.25,83.43,Warning
6/3/2023,22.4,4.88,74.3,64,Warning
6/4/2023,19.35,4.79,59.42,71.27,Warning
6/5/2023,15.49,4.52,46.89,80.53,Warning
6/6/2023,24.55,3.67,49.26,74.06,Warning
6/7/2023,19.39,4.52,60.2,56.72,Warning
6/8/2023,26.03,4.21,55.28,84.08,Warning
6/9/2023,24.12,5.22,68.29,70.59,Warning
6/10/2023,24.31,4.4,89.84,98.25,Warning
6/11/2023,23.48,4.2,96.3,59.06,Warning
6/12/2023,22.35,4.42,74.47,92.09,Good
6/13/2023,23.35,4.29,52.1,58.18,Warning
6/14/2023,23.58,4.29,79.91,76.15,Good
6/15/2023,25.48,4.34,63.55,90.83,Warning
6/16/2023,13.85,4,67.76,65.07,Bad
6/17/2023,22.07,5.34,53.93,94.98,Warning
6/18/2023,25.32,3.39,94.39,81.21,Bad
6/19/2023,16.09,5.07,48.36,89.7,Warning
6/20/2023,24.53,5.64,93.63,89.43,Bad
6/21/2023,20.16,4.08,54.91,87.2,Warning
6/22/2023,22.29,4.26,85.75,93.84,Good
6/23/2023,26.15,4.24,46.64,92.32,Warning
6/24/2023,20.92,4.01,87.84,57.5,Warning
6/25/2023,25.03,4.04,83.2,82.06,Warning
6/26/2023,23.65,5.44,55.11,67.28,Warning
6/27/2023,14.89,5.25,67.72,97.36,Bad
6/28/2023,23.12,3.94,70.35,80.57,Warning
6/29/2023,22.44,4.86,81.8,96.12,Good
6/30/2023,18.84,4.74,74.58,80.34,Good
7/1/2023,28.37,4.24,96.06,96.28,Bad
7/2/2023,18.04,4.44,99.09,91.94,Good
7/3/2023,22.22,5.05,75.48,69.95,Warning
7/4/2023,21.37,4.29,88.17,50.23,Warning
7/5/2023,17.95,3.67,72.24,95.99,Warning
7/6/2023,16.84,3.85,84.25,72.61,Warning
7/7/2023,20.96,3.75,48.45,58.82,Warning
7/8/2023,11.21,4.47,94.89,68.12,Bad
7/9/2023,29.4,5.06,40.79,83.18,Bad
7/10/2023,20.92,3.95,45.12,99.84,Warning
7/11/2023,32.29,4.53,44.02,87.5,Bad
7/12/2023,22.79,4.43,52.31,59.53,Warning
7/13/2023,21.87,4.23,73.89,53.29,Warning
7/14/2023,20.98,5.25,71.46,72.04,Warning
7/15/2023,26.98,3.46,49.31,59.1,Bad
7/16/2023,16.37,4.11,78.64,70.44,Warning
7/17/2023,25.74,5.14,41.63,61.1,Warning
7/18/2023,24.89,3.94,41.18,55.21,Warning
7/19/2023,19.9,4.74,79.16,61.91,Warning
7/20/2023,21.04,4.31,83.34,92.78,Good
7/21/2023,20.56,5.08,80.09,60.25,Warning
7/22/2023,24.37,4.35,40.78,54.28,Warning
7/23/2023,23.3,3.87,65.29,94.63,Warning
7/24/2023,19.91,5.02,55.57,68.98,Warning
7/25/2023,15.77,4.8,77.45,70.47,Warning
7/26/2023,13.67,5.35,57.67,97.42,Bad
7/27/2023,19.82,4.7,92.11,74.37,Good
7/28/2023,22.46,4.58,65.51,51.12,Warning
7/29/2023,23.23,3.64,78.01,62.89,Warning
7/30/2023,22.68,4.41,99.06,76.28,Good
7/31/2023,19.84,4.11,41.1,95.71,Warning
8/1/2023,22.78,4.01,56.44,77.71,Warning
8/2/2023,26.12,4.74,52.39,50.55,Warning
8/3/2023,23.02,4.99,76.03,83.25,Good
8/4/2023,14.64,3.86,71.14,52.35,Bad
8/5/2023,24.07,4.14,44.97,80.16,Warning
8/6/2023,19.55,3.8,57.32,67.78,Warning
8/7/2023,18.1,5.03,73.98,73.8,Warning
8/8/2023,23.97,4.59,83.95,60.75,Warning
8/9/2023,19.7,4.56,69.78,79.84,Warning
8/10/2023,26.6,4.15,46.4,53.76,Warning
8/11/2023,21.86,5.39,81.3,71.74,Warning
8/12/2023,24.83,4.22,87.96,84.73,Warning
8/13/2023,24.49,3.71,61.66,54.58,Warning
8/14/2023,21.7,4.81,51.11,77.1,Warning
8/15/2023,23.52,4.81,88.39,82.94,Good
8/16/2023,25.34,4.73,54.98,74.47,Warning
8/17/2023,23.72,4.6,50.83,78.4,Warning
8/18/2023,17.68,5.03,95.46,98.55,Warning
8/19/2023,21.84,4.84,91.72,92.23,Good
8/20/2023,25.75,4.24,42.22,79.81,Warning
8/21/2023,20.26,4.35,44.62,84.81,Warning
8/22/2023,27.02,4.05,43.92,65.76,Warning
8/23/2023,27.79,4.6,59.13,81.29,Warning
8/24/2023,23.07,4.94,53.98,51.22,Warning
8/25/2023,22.33,5.03,96.34,89.94,Warning
8/26/2023,19.93,5.2,68.79,81.38,Warning
8/27/2023,20.22,5.23,65.28,86.88,Warning
8/28/2023,20.32,4.36,61.28,64.36,Warning
8/29/2023,17.98,4.12,42.53,50.89,Warning
8/30/2023,21.86,4.62,63.06,83.98,Warning
8/31/2023,25.94,4.39,96.68,73.37,Warning
9/1/2023,17.51,4.69,99.47,61.58,Warning
9/2/2023,22.67,4.75,76.46,75.63,Good
9/3/2023,19.45,4.23,53.23,59.32,Warning
9/4/2023,19.45,5.09,43.47,98.46,Warning
9/5/2023,27.68,4.21,81.76,57.69,Warning
9/6/2023,19.79,4.82,53.43,76.85,Warning
9/7/2023,28.19,5.4,45.49,93.87,Bad
9/8/2023,19.55,4.31,93.32,97.78,Good
9/9/2023,23.14,4.67,79.31,77.54,Good
9/10/2023,21.29,4.1,62.36,62.99,Warning
9/11/2023,21.87,5.4,44.86,61.01,Warning
9/12/2023,19.93,4.61,91.07,74.76,Good
9/13/2023,32.11,4.23,89.48,67.39,Bad
9/14/2023,24.73,5.42,56.02,93.93,Warning
9/15/2023,24.36,5.05,91.03,93.36,Warning
9/16/2023,25.28,4.75,81.85,84.01,Warning
9/17/2023,27.53,4.82,49.52,94.04,Warning
9/18/2023,21.33,4.57,60.11,87.18,Warning
9/19/2023,23.47,4.3,89.93,75.37,Good
9/20/2023,22.76,4.52,77.91,62.99,Warning
9/21/2023,24.58,5.58,86.79,55.35,Bad
9/22/2023,23,5.29,97.78,67.09,Warning
9/23/2023,24.43,4.59,46.15,96.86,Warning
9/24/2023,20.21,4.6,58.06,85.41,Warning
9/25/2023,22.53,4.15,60.75,81.05,Warning
9/26/2023,19.76,4.69,85.5,51.23,Warning
9/27/2023,28.26,4.47,81,72.3,Bad
9/28/2023,16.21,3.4,49.82,89.74,Bad
9/29/2023,17.92,4.85,44.94,84.02,Warning
9/30/2023,16.88,4.94,97.05,57.55,Warning
10/1/2023,24.6,4.45,65.18,81.93,Warning
10/2/2023,15.9,4.15,99.04,70.47,Warning
10/3/2023,21.04,4.68,52.79,51.56,Warning
10/4/2023,16.99,5.22,91.86,73.66,Warning
10/5/2023,23.37,4.73,86.26,92.24,Good
10/6/2023,24.57,5.16,47.87,51.63,Warning
10/7/2023,22.79,4.85,87.79,74.08,Good
10/8/2023,19.29,5.4,52.03,74.58,Warning
10/9/2023,22.51,4.16,56.14,89.88,Warning
10/10/2023,20.22,3.56,40.7,53.62,Warning
10/11/2023,20.19,3.29,76,64.58,Bad
10/12/2023,25.14,4.71,86.79,51.98,Warning
10/13/2023,18.13,4.48,54.52,99.33,Warning
10/14/2023,21.99,3.92,77.09,85.12,Warning
10/15/2023,21.12,4.51,59.59,75.89,Warning
10/16/2023,21.01,4.16,41.99,53.93,Warning
10/17/2023,17.99,4.36,74.05,84.47,Warning
10/18/2023,19.72,4.79,50.05,55.23,Warning
10/19/2023,27.6,4.96,41.9,96.81,Warning
10/20/2023,22.24,4.18,82.54,93.55,Good
10/21/2023,25.58,4.82,60.37,90.74,Warning
10/22/2023,27.27,4.6,67.14,82.18,Warning
10/23/2023,28.94,4.6,44.9,53.02,Bad
10/24/2023,19.39,4.26,92.31,60.96,Warning
10/25/2023,24.09,4.21,79.52,74.91,Warning
10/26/2023,28.91,4.72,53.71,99.82,Bad
10/27/2023,22.15,4.56,51.97,84.01,Warning
10/28/2023,20.97,3.67,92.1,86.36,Warning
10/29/2023,20.07,5.29,60.76,68.55,Warning
10/30/2023,22.9,5.02,66.32,86.26,Warning
10/31/2023,26.31,4.48,94.04,71.09,Warning
11/1/2023,24.61,3.71,94.74,60.53,Warning
11/2/2023,27.91,5.19,83.99,56.58,Warning
11/3/2023,23.98,4.63,50.78,61.88,Warning
11/4/2023,21.9,5.09,54.83,93.54,Warning
11/5/2023,25.09,3.08,61.55,79.65,Bad
11/6/2023,20.55,3.94,98.16,62.91,Warning
11/7/2023,16.82,5.08,86.41,56.54,Warning
11/8/2023,21.81,4.74,54.16,53.67,Warning
11/9/2023,22.31,3.86,60.22,91.44,Warning
11/10/2023,15.77,4.29,77.03,85.34,Warning
11/11/2023,20.61,4.33,42.2,86.82,Warning
11/12/2023,20.71,5.54,90.65,90.28,Bad
11/13/2023,26.12,4.62,52.35,55.6,Warning
11/14/2023,21.71,4.48,71.87,96.83,Good
11/15/2023,24.93,4.46,58.97,75.36,Warning
11/16/2023,25.67,4.67,67.28,75.78,Warning
11/17/2023,30.35,4.43,48.38,51.5,Bad
11/18/2023,26.43,3.98,52.11,83.67,Warning
11/19/2023,19.5,5.46,92.09,58.86,Warning
11/20/2023,25.48,4.75,96.68,84.16,Warning
11/21/2023,31.61,4.47,92.13,78.53,Bad
11/22/2023,26.42,5.09,52.94,82.94,Warning
11/23/2023,28.53,3.93,46.4,82.89,Bad
11/24/2023,21.74,4.66,92.25,89.12,Good
11/25/2023,28.45,4.73,92.71,70.21,Bad
11/26/2023,26.76,3.89,88.47,88.11,Warning
11/27/2023,20.81,5.19,89.07,56.01,Warning
11/28/2023,21.31,4.51,59.48,68.32,Warning
11/29/2023,28.38,4.08,63.31,72.43,Bad
11/30/2023,19.44,3.84,53.64,53.66,Warning
12/1/2023,28.57,5,77.17,73.17,Bad
12/2/2023,25.93,4.34,71.14,73.96,Warning
12/3/2023,16.44,3.68,74.81,76.68,Warning
12/4/2023,27.54,4.78,88.78,85.91,Warning
12/5/2023,25.04,4.64,54.61,96.35,Warning
12/6/2023,18.98,4.36,69.15,62.84,Warning
12/7/2023,18.05,3.95,88.18,76.96,Warning
12/8/2023,25.67,3.71,82.97,63.63,Warning
12/9/2023,18.07,4.39,50.87,84.06,Warning
12/10/2023,22.42,3.83,82.54,55.34,Warning
12/11/2023,15.63,4.72,97.78,74.18,Warning
12/12/2023,22.9,5.18,42.6,81.66,Warning
12/13/2023,22.49,4.77,89.15,94.21,Good
12/14/2023,19.19,4.17,76.66,70.55,Good
12/15/2023,17.02,4.15,86.83,63.74,Warning
12/16/2023,20.82,5.12,80.05,54.78,Warning
12/17/2023,18.66,5.57,75.2,58.4,Bad
12/18/2023,24.54,4.71,53,54.79,Warning
12/19/2023,22.18,4.43,76.43,77.33,Good
12/20/2023,19.77,3.82,75.67,74.84,Warning
12/21/2023,18.79,5.32,65.69,85.88,Warning
12/22/2023,24.28,5.31,56.45,53.97,Warning
12/23/2023,19.67,3.99,53.6,67.75,Warning
12/24/2023,22.14,4.12,44.06,90.02,Warning
12/25/2023,22.94,3.72,92.8,82.54,Warning
12/26/2023,14.03,4.69,59.98,83.47,Bad
12/27/2023,28.69,4.71,67.91,53.01,Bad
12/28/2023,24.23,4.54,50.52,84.5,Warning
12/29/2023,22.68,3.79,45.8,72.52,Warning
12/30/2023,19.06,5.12,79.89,89.77,Warning
12/31/2023,17.63,4.34,99.55,96.35,Warning
1/1/2024,26.85,4.57,71.26,81.18,Warning
1/2/2024,22.77,4.35,47.66,91.3,Warning
1/3/2024,24.83,4.98,42.17,65.16,Warning
1/4/2024,18.86,3.83,45.26,96.85,Warning
1/5/2024,14.66,4.75,63.82,72.36,Bad
1/6/2024,23.55,5.75,95.16,74.85,Bad
1/7/2024,22.33,4.45,62.84,93.9,Warning
1/8/2024,23.07,4.66,87.4,65.23,Warning
1/9/2024,21.3,4.12,50.41,84.75,Warning
1/10/2024,22.11,4.5,78.46,91.12,Good
1/11/2024,21.9,4.91,76.38,88.24,Good
1/12/2024,22.04,3.84,63.92,57.32,Warning
1/13/2024,19.56,4.41,41.55,56.76,Warning
1/14/2024,22.23,4.76,97.95,71.62,Good
1/15/2024,22.26,3.51,66.37,55.28,Warning
1/16/2024,17.16,4.8,77.18,82.51,Warning
1/17/2024,21.15,5.25,43.49,99.74,Warning
1/18/2024,22.59,4.33,99.02,61.96,Warning
1/19/2024,19.55,4.35,81.53,53.11,Warning
1/20/2024,22.64,4.5,88.84,80.76,Good
1/21/2024,25.8,3.76,71.62,71.3,Warning
1/22/2024,16.53,4.39,62.07,70.71,Warning
1/23/2024,24.17,4.88,86.16,50.55,Warning
1/24/2024,19.69,3.2,41.15,62.99,Bad
1/25/2024,19.82,4.7,72.12,60.76,Warning
1/26/2024,21.94,4.79,46.58,77.4,Warning
1/27/2024,26.79,4.42,45.88,74.41,Warning
1/28/2024,20.23,4.06,84.24,73.8,Good
1/29/2024,16.51,3.69,67.57,89.25,Warning
1/30/2024,19.32,5.02,81.29,71.88,Warning
1/31/2024,24.71,4.26,42.31,95.09,Warning
2/1/2024,30.63,4.2,79.56,94.76,Bad
2/2/2024,27.21,5.28,44,75.92,Warning
2/3/2024,23.84,4.16,70.73,84.01,Good
2/4/2024,20.54,4.59,44.28,50.61,Warning
2/5/2024,16.61,4.01,60.98,88.73,Warning
2/6/2024,17.81,4.77,50.45,54.92,Warning
2/7/2024,26.74,4.86,55.9,51.05,Warning
2/8/2024,25.98,4.12,77.48,69.1,Warning
2/9/2024,20.71,4.37,76.9,88.73,Good
2/10/2024,23.82,5.58,42.52,98.42,Bad
2/11/2024,19.43,4.96,98.8,80.09,Good
2/12/2024,28.11,4.75,88.71,82.82,Bad
2/13/2024,20.54,4.08,95.69,61.23,Warning
2/14/2024,17.82,3.52,66.36,80.65,Warning
2/15/2024,21.11,4.36,93.22,82.29,Good
2/16/2024,25.44,4.21,91.68,92.33,Warning
2/17/2024,21.33,4.64,85.3,73.03,Good
2/18/2024,23.96,4.87,86.59,82.81,Good
2/19/2024,22.72,3.85,99.08,96.87,Warning
2/20/2024,23.6,4.17,89.07,60.68,Warning
2/21/2024,26.95,4.51,83.97,77.11,Warning
2/22/2024,22.96,5.8,57.85,78.25,Bad
2/23/2024,25.01,4.69,78.18,88.06,Warning
2/24/2024,21.45,3.89,40.56,62.33,Warning
2/25/2024,21.16,4.07,88,60.2,Warning
2/26/2024,28.68,4.7,76.96,59.4,Bad
2/27/2024,26.79,4.2,73.25,50.26,Warning
2/28/2024,18.86,4.82,97.48,68.4,Warning
2/29/2024,18.45,4.28,58.34,93.83,Warning
3/1/2024,28.91,4.3,93.17,79.65,Bad
3/2/2024,16.33,3.62,81.74,50.16,Warning
3/3/2024,15.9,5.13,87.65,54.65,Warning
3/4/2024,19.79,5.78,78.54,53.24,Bad
3/5/2024,28.17,5.5,73.64,80.17,Bad
3/6/2024,26.1,4.8,56.19,91.25,Warning
3/7/2024,18.73,4.5,43.51,66.71,Warning
3/8/2024,24.79,4.98,87.32,75.86,Warning
3/9/2024,17.43,4.4,59.69,71.7,Warning
3/10/2024,21.67,4.44,75.89,86.78,Good
3/11/2024,17.9,5.43,78.17,89.28,Warning
3/12/2024,21.09,4.02,90.39,69.19,Warning
3/13/2024,29.54,5.27,51.07,68.11,Bad
3/14/2024,22.56,3.62,57.92,97.03,Warning
3/15/2024,20.14,3.7,92.36,92.1,Warning
3/16/2024,24.05,4.23,67.49,74.15,Warning
3/17/2024,21.89,5.39,66.21,86.48,Warning
3/18/2024,19.59,4.73,76.61,56.77,Warning
3/19/2024,25.06,5.11,97.4,53.45,Warning
3/20/2024,21.6,4.4,55.7,62.35,Warning
3/21/2024,21.09,4.68,56.32,87.97,Warning
3/22/2024,27.97,4.36,43.92,74.38,Warning
3/23/2024,12.3,4.94,60.84,94.99,Bad
3/24/2024,22.27,4.76,96.21,52.61,Warning
3/25/2024,15.75,4.24,83.85,99.06,Warning
3/26/2024,25.18,3.87,51.89,78.27,Warning
3/27/2024,23.87,4.48,76.51,67.48,Warning
3/28/2024,19.06,4.09,91.04,78.06,Good
3/29/2024,17.94,4.53,91.61,86.14,Warning
3/30/2024,22.71,4.32,72.61,54.09,Warning
3/31/2024,17.71,3.04,49.95,97.28,Bad
4/1/2024,23.75,4.95,67.74,70.59,Warning
4/2/2024,24.48,5.53,43.74,75.63,Bad
4/3/2024,21.27,5.19,43.12,89.31,Warning
4/4/2024,19.42,4.1,49.88,66.51,Warning
4/5/2024,22.49,5.31,52.29,93.89,Warning
4/6/2024,20.83,3.72,99.1,88.6,Warning
4/7/2024,25.53,4.46,72.32,74.89,Warning
4/8/2024,23.2,4.12,89.33,69.02,Warning
4/9/2024,22.45,3.78,57.23,89.64,Warning
4/10/2024,29.49,5.04,87.87,69.8,Bad
4/11/2024,22.27,4.93,49.48,84.79,Warning
4/12/2024,19.43,5.01,91.43,95.31,Warning
4/13/2024,20.66,4.3,51.05,94.7,Warning
4/14/2024,18.18,4.71,66.42,80.76,Warning
4/15/2024,22.1,5.21,98.03,70.89,Warning
4/16/2024,17.75,4.71,92.92,71.37,Warning
4/17/2024,26.75,5.79,83.16,94.51,Bad
4/18/2024,22.78,4.32,51.24,92.91,Warning
4/19/2024,22.67,5.16,82.61,65.72,Warning
4/20/2024,27.27,4.44,67.56,67.89,Warning
4/21/2024,27.19,4.49,60.11,58.69,Warning
4/22/2024,25.36,4.77,46.04,61.99,Warning
4/23/2024,20.43,4.04,67.02,87.44,Warning
4/24/2024,26.87,5.26,61.14,92.07,Warning
4/25/2024,23.61,4.49,78.05,56.31,Warning
4/26/2024,17.28,5.09,81.18,53.48,Warning
4/27/2024,23.13,4.37,53.63,91.85,Warning
4/28/2024,25.49,3.83,81.65,75.63,Warning
4/29/2024,18,4.16,41.99,65.2,Warning
4/30/2024,24.06,4.59,92.27,88.3,Warning
5/1/2024,24.54,5.05,55.62,95.36,Warning
5/2/2024,24.69,5.45,46.66,72.35,Warning
5/3/2024,26.43,4.44,72.8,69.02,Warning
5/4/2024,19.86,4.45,84.39,95.9,Good
5/5/2024,24.84,4.28,57.53,95.54,Warning
5/6/2024,24.96,4.81,41.08,98.14,Warning
5/7/2024,18.26,5.04,89.76,64.08,Warning
5/8/2024,23.47,5.42,45.79,62.09,Warning
5/9/2024,21.92,4.35,58.08,79.92,Warning
5/10/2024,17.79,3.97,84.59,52.41,Warning
5/11/2024,25.8,5.36,93.54,59.27,Warning
5/12/2024,21.58,4.42,87.67,51.73,Warning
5/13/2024,22.28,5.08,43.82,91.57,Warning
5/14/2024,18.29,4.62,45.63,95.48,Warning
5/15/2024,25.9,4.75,92.74,78.59,Warning
5/16/2024,11.19,4.84,59.02,71.73,Bad
5/17/2024,24.04,5.19,93.55,72.17,Warning
5/18/2024,28.45,5.16,75.5,85.13,Bad
5/19/2024,22.3,3.7,46.25,69.23,Warning
5/20/2024,30.68,4.41,97.03,80.03,Bad
5/21/2024,22.17,5.35,78.05,53.55,Warning
5/22/2024,19.03,3.84,68.35,52.28,Warning
5/23/2024,20.28,4.15,98.29,66.57,Warning
5/24/2024,16.37,4.46,76.65,64.03,Warning
5/25/2024,22.33,3.77,40.33,50.38,Warning
5/26/2024,20.76,4.12,88.16,78.6,Good
5/27/2024,14.5,4.56,95.91,69.85,Bad
5/28/2024,22.85,4.12,46.83,67.26,Warning
5/29/2024,26.3,4.51,69.61,85.11,Warning
5/30/2024,19.17,3.74,65.31,70.55,Warning
5/31/2024,23.07,4.75,76.47,65.47,Warning
6/1/2024,20.07,4.57,55.46,52.98,Warning
6/2/2024,28.45,4.95,46.87,69.19,Bad
